happyword	angryword	sadword	disgustword	scaredword	surpriseword
夥伴	絕對不會原諒你	苦痛	尖嘯	惡魔	
實現	給你們好看	降低	成見	惡魔的	
實踐過	給我小心點	降低..	成空	惡魔般	
寧靜	給我死	降低..的地位	扣住	惡魔般的	
對待	給我注意一點	降低..的品格	扣押	無生命	
對稱	給我注意點	限止	扣留	無生命的	
慷慨	脾氣	限制	收買	驚嚇	
慷慨的	亂罵	限制因素	曲折	痙攣	
榮耀	亂罵人	限定	曲折的	發抖	
榮譽	亂講	限度	曲解	絕望	
歌劇	塞你娘雞吧	陌生	有成見	詛咒	
漂亮的	塞你祖馬勒	陌生的	有毒	進行威脅	
漸強	塞到	倒下	有毒的	進行恐嚇	
熏陶	塞拎娘	倒不如	有毒腺	傳染	
熙	塞哩幾摳碗粿	倒坍	有毒腺的	傳染性	
種類	干你	倒垃圾	有害	傳染病	
稱讚	干你老師	倒彩	有害的	嫉妒	
箔	干你娘	倒閉	有害的動物	嫉俗	
精美的	干你娘老雞巴	倒塌	有害的植物	感到憂慮	
精英	干你娘老雞麥	倒楣	有差別	暗示	
精神	干你桌來	倒楣的	有差別地對待	暗地	
精彩的	干你祖宗十八代	凌亂	有差異	暗地裡破壞	
綠色	干走	凋萎	有差異的	暗指	
綠洲	干裡娘操雞麥	凋謝	有特權	暗殺	
舞蹈	干到最高點	凋謝的	有特權的	暗殺者	
蜜月	干你	哭泣	有病	暗淡	
誘人的	干你全家	哭得使..	有病的	暗淡的	
豪華	幹的好事	哭著使..	有缺陷	暈眩	
輕笑	乾娘	哭訴	有缺陷的	暈眩的	
儀式	干麻	徒勞	有缺點	極度痛苦	
劇場	干瞧	徒然	有缺點的	極度興奮	
噴	干礁	徒然的	有瑕疵	極苦悶	
嬉鬧	乾聲連連	悔恨	有瑕疵的	落入	
嬉戲	干譙	消失	有罪	落下	
履行	媽ㄉ	消沈	有罪的	落伍	
德	媽的	消耗	有詭計	落伍的士兵	
慶典	搞什麼玩意	消耗性	有詭計的	落空	
慶祝	鉗制	消耗性的	有顧忌	落後	
樂隊	隔絕	消耗熱	有顧忌的	落後於	
樂趣	隔絕掉	消耗熱的	次品	落後的	
樂觀	隔開	消散	次要	落後程度	
模範	漠不	消極	次要的	隔離	
熟悉度	漠不關心	消極的	次級	電擊	
熟練度	漠然	消滅	污的	預示..的凶兆	
熱切	漠視	消瘦	污物	夢魘	
熱心	滿腹疑雲	狼狽	污垢	疑心	
熱情	滿臉橫肉	狼藉	污染	疑心的	
熱情的	滿臉爛肉	砰地	污跡	疑有	
獎	煽風點火	砰地放下	污漬	疑問	
獎金	滾回去	砰地落下	污蔑	疑惑	
獎學金	滾蛋	砰然	污濁	疑慮	
調情	滾遠	砰然作聲	污濁的	疑懼	
調解	管你去死	砰然作聲地	污點	遠去	
請享用	管我	砰然聲	污穢	震驚	
賞金	算你厲害	疲乏	污穢的	駑馬	
賢惠的	算啥	疲倦	灰心	擔心	
輝光	說打就打	疲倦的	灰心的	擔負	
輝煌	趕快消失	疲勞	有點兒	擔憂	
麾	趕這樣說	疲憊	老生常談	嚇人	
黎明	趕盡殺絕	破落	老馬	嚇人的	
勳章	嘴巴放乾淨一點	破落的	老處女	嚇出	
器官	嘴巴爛掉	紋裂	自大	嚇呆	
擁抱	增惡	耗盡	自大的	嚇呆的	
擅長	嘲弄	耗盡的	自任	嚇跑	
操場	嘲笑	耽擱	自任不凡	險惡	
樹	嘲諷	笑柄	自任不凡的	險惡的	
機智	遠點	粉碎	自吹	險境	
激烈的	駁斥	索費	自吹自擂	壓迫	
激動	僵持	索價	自吹自擂說	壓迫的	
激發	僵持不下	缺少	自我	壓倒	
獨立	嘮叨	缺少的東西	自我中心	壓倒性	
糕點	嘮裡嘮叨	缺乏	自我中心的	壓倒性的	
糖果	嘮嘮叨叨	缺乏自信	自我本位	壓破	
興高采烈	摩擦	缺乏的	自我本位的	壓碎	
興奮	撞死	缺乏感情	自私	壓搾	
興奮的	撞牆	缺乏感情或興趣	自私的	壓皺	
親近	撐著	缺乏感情的	自卑	壓壞	
親密地	撕破	缺乏興趣	自卑情緒	壓制	
親密的	撕破臉	缺乏興趣的	自卑感	壓制性	
親愛的	嗔怒	茫然	自命	壓制性的	
親屬	衝突	茫然的	自封	壓治	
輻射	衝動	衰老	自負	壓治統治	
遺產	震怒	衰老的	自負的	尷尬	
錢	遷怒	衰弱	自負的地方	瀰漫	
頭獎	橫刀奪愛	衰弱的	自誇	臨死	
償還	橫行霸道	衰退	自誇的	臨死的痛苦	
優勝者	激怒	衰敗	自誇說	竊賊	
優雅	激動	衰微	自稱	竊聽	
優雅的	激進	衰落	自擾	竊聽器	
勵磁	激憤	衰落的	色慾	蠱惑	
壓痛	諷刺	衰竭	行為不良	不安	
嬰兒	踹開	退落	行為不良的人	仇外情節	
燦爛	斃了	退落	行為不端	內疚	
獲得	斃了他	陣痛	行為不檢	內阻	
獲勝	斃了你	乾旱	行為不檢的	內訌	
禧年	濫打	乾咳	行為不禮貌	內鬥	
繁星點點	濫打人	乾枯	行賄	內哄	
繁榮	生氣	停頓	行騙	六神無主	
聲望	賽人	停滯	行竊	六親不認	
聳人聽聞	賽人樣	停滯的	作犯規動作	天殺	
薪水	賽你娘	啜泣	作低沈聲	天殺的	
購物	賽林良	啜泣著說	作弄	引頸企盼	
避難所	騙吃混喝	寂寞	作祟	心生畏懼	
邀請	囂張	寂寞的	作嘔	心如刀割	
鴿子	屌的二五八萬	將..弄糟	作弊	心有餘悸	
嚮往	屌個屁	將..逐出社會	低水平	心死	
癒合	骭林娘	將交保釋放	低劣	心灰意冷	
禮物	噁心	將浮渣去除掉	低沈	心急如焚	
禮炮	噁心鬼	強光	低於他人者	心胸狹窄	
簡化	屌ㄌ	強奪	低級	心胸狹隘	
豐富	屌什麼	得不到	低級的	心驚肉跳	
雜技演員	屌屁	得不到休息	低級庸俗	心驚膽戰	
寵兒	屌兒啷當	得不到休息的	低級庸俗的	毛坑	
爆發	屌琅當	惋惜	免職	毛骨悚然	
藝術	屌啥	患..病	冷笑	可怕	
鏗鏘有力	捶胸頓足	患..病的	冷淡	失手	
關閉	跩什麼	患者	冷淡的	失去	
難忘	跩什麼鬼	患病	冷落	失色	
願望	跩什麼跩	患病的	冷漠	失血	
寶石	跩屁	患精神病	冷酷	失利	
寶貴的	人事不省	患精神病的	冷酷地	失序	
寶藏	口角	控告	冷酷的	失志	
癢癢	大叫	敗北	冷嘲	失身	
籃球	大叫大嚷著要求	敗俗	冷嘲的	失事	
釋放	大傷	敗退	冷嘲熱諷	失和	
霸權	大意	敗德	低聲	失明	
權宜	大意的	敗德的	低聲地	失盲	
歡呼	大話	敗壞	低聲含糊	失信	
歡迎	大禍	敗壞的	低聲含糊地說	失卻	
歡笑	大錯	敗壞道德之事	吝惜	失約	
歡樂	大聲	淺薄	吝嗇	失效	
歡鬧	大聲的要求	淺薄的	吝嗇的	失神	
歡蹦亂跳	大聲要求	清理債務	吝嗇鬼	失笑	
贖罪	大聲要求的	清算	利己	失密	
戀情	己見	清算清算	利己主義	失常	
驚人地	不充分	淒涼	利己主義的	失控	
驚訝	不充分的	淒涼的	刪去	失掉	
驚喜	不充足	淒慘	刪除	失敗	
驚險	不充足的	淒慘的	劫掠	失焦	
靈感	不出場	牽制	吞吃	失意	
灣	不加思考的	牽連	否決	失落	
讚揚	不可靠	被害	否決權	失態	
鑽石	不可靠的	被害者	否定	失魂落魄	
入迷	不必要	被控	否定的	失戀	
入迷的	不必要的	被控犯罪	否認	失怙	
入迷的人	不正確	被控犯罪的人	呆子	未遂	
久經世故	不正確的	被損壞	呆笨	永訣	
久經世故的	不光明正大	被遺棄	呆笨的	永遠都不要看到你	
可忍受	不光明正大的	被遺棄的	呆滯	犯愁	
可忍受的	不合	被壓壞	呆滯的	生懼	
可容忍	不生育	被擊中	告密	生怕	
可容忍的	不生育的	被擊中的	告密者	死光	
命運注定	不休	被議論	告發	死光光	
命運注定的	不合理	被議論的	告訴錯誤	死刑	
高度興奮	不合理的	責怪	告訴錯誤的消息	死得很難看	
異常興奮	不合格	責備	含有特定意味	死得難看	
異常興奮的	不合格的	責備話	告誡	死掉	
	不合情理之事	責罵	吹牛	死期	
	不合規定	責罵不休	吹牛皮	死樣子	
	不合規定的	責難	吹捧	自危	
	不合規格之物	逞威	吹噓	戒懼	
	不合意	逞威風	吹噓說	冒冷汗	
	不合意的	逞威風的	吸毒	怨天尤人	
	不合群	造反	吸毒者	怨命	
	不合群的動物	造反的	含沙射影	怨恨	
	不合標準	造成破壞	含混	怨憤	
	不合標準的	造成破壞的	含混的	畏懼	
	不好	造成損失	含糊	恐怖	
	不如	造成損害	含糊地說	恐怕	
	不守規矩	造成損害的	含糊地說話	恐慌	
	不守規矩的	造成錯覺	含糊的	恐嚇	
	不成比例	陷入僵局	含糊話	恐懼	
	不成比例的	陷住	妒忌	鬼子	
	不成功	陷於困境	妨害	鬼天氣	
	不成功的	麻木	妨害物	鬼叫	
	不成熟	麻木的	妨礙	鬼東西	
	不成熟的	創傷	妨礙者	鬼玩意	
	不自在	創傷的	妓女	鬼鬼祟祟	
	不自在的	喪失	弄凹	暗殺	
	不自然	喪失公權者	弄死	極端	
	不自然的	喪失的	弄污	罪惡	
	不均勻	喪失親人	弄歪	遇刺	
	不均勻的	喪失親人的	弄混	雷霹	
	不均等	喪親	弄跛	橫行霸道	
	不妥當	悲哀	弄亂	橫肉	
	不妥當的	悲哀地說	弄碎	橫行	
	不完全	悲哀的	弄皺	險惡	
	不完全的	悲悼	弄複雜	鬆散	
	不完美	悲痛	弄錯	懼怕	
	不完美的	悲傷	弄糟	驚嚇	
	不牢固	悲傷的	弄翻	膽小	
	不牢固的	悲傷者	弄壞	膽怯	
	不牢靠	悲慘	弄髒	膽戰心驚	
	不牢靠的	悲慘的	形容枯槁	懼怕	
	不良	悲劇	形容枯槁的	驚恐	
	不良的	悲劇的	忘恩	驚慌	
	不足	悲歎	忘恩負義	驚慄	
	不足之處	悲觀	忘恩負義的	驚嚇	
	不足取	悲觀主義	扭打	驚惶	
	不足取的	悲觀主義的	扭曲		
	不足的	悲觀的	扭歪		
	不足額	悶悶不樂	扭斗		
	不孝	悶悶不樂的	扭傷		
	不兩立	惴惴	把..分隔開		
	不到	惴惴不安	把..孤注一擲		
	不到案	惴惴不安的	把..烤焦		
	不協調	惱人	把..強加於		
	不和	惱人事	把..割下		
	不和的	無目的	把..悶死		
	不和諧	無目的的	把..燒焦		
	不周到	無休止	投訴		
	不周到的	無名	把關在欄內		
	不坦率	無名小卒	扯破		
	不坦率的	無利益	扯破的洞		
	不定	無利益的	扯碎		
	不定的	無助	折磨		
	不宜	無助的	折斷		
	不宜的	無助的狀態	折舊		
	不幸	無希望	投機		
	不幸之事	無希望的	抓住		
	不幸事件	無形	抑制		
	不幸的	無形的	抑制的		
	不幸的人	無形的東西	攻擊		
	不忠	無志氣	攻擊性		
	不忠的	無志氣的人	攻擊性的		
	不忠實	無把握	攻擊者		
	不忠實的	無把握的事	抑止		
	不易	無決斷力	攻佔		
	不易的	無決斷力的	更惡劣		
	不易瞭解	無事自擾	更惡劣地		
	不易瞭解的	無依	更惡劣的事		
	不明	無依無靠	更壞		
	不明瞭	無依無靠的	更壞地		
	不明瞭的	無味	更壞的事		
	不明確	無底洞	束手		
	不明確的	無法	束手無策		
	不注意	無法忍受	束縛		
	不注意的	無救的	束縛物		
	不法	無厭	步入歧途		
	不法行為	無精打采	步入歧途的		
	不法的	無精打采的	牢騷		
	不直截了當	無權的	私生		
	不直截了當的	痛心	私生的		
	不知	痛心的	私通		
	不知不覺	痛恨	私運		
	不知不覺的	痛苦的	私黨		
	不知所措	發愣	赤字		
	不知恩	發愣的	赤貧		
	不知的	發爆震聲	赤貧者		
	不知道	窘迫不安	赤裸裸		
	不知道的	筋疲	赤裸裸的		
	不肯	筋疲力盡	走失		
	不肯定	萎縮	走失的		
	不肯定的	萎靡	走失的家畜		
	不近	訴苦	走失動物認領欄		
	不近人情	辜負	走私		
	不近人情的	傷心	走得慢		
	不長	傷心事	走散		
	不長果實	嗚咽	走散的人		
	不長果實的	塌陷	走險		
	不信	塌落	辛苦		
	不信實	意外	辛苦地		
	不耐煩	意外事件	辛苦的		
	不耐煩的	意志消沈	辛辣		
	不重要	意見不合	邪惡		
	不重要之人	意見分歧	邪惡的		
	不重要的	感到不適	乖張		
	不重視	感到可憐	乖張的		
	不准	感到可憐的	辛辣的		
	不容易的	感到灼痛	使人反感		
	不悅	感到抱歉	使人反感的		
	不悅之色	感到抱歉的	使不相宜		
	不能容忍	感到後悔	使不能		
	不能容忍的	感到疼痛	使不相宜		
	不能區別	感到痛苦	使不喜歡		
	不能區別的	感到極度痛苦	使中斷		
	不能勝任	感到遺憾	使分心		
	不能勝任的	感到遺憾的	使分裂		
	不能想像	感到難過	使分隔		
	不能想像的	感到難過的	使分離		
	不能解決	感冒	使反感		
	不能解決的	感染	使充滿臭氣		
	不能解決問題	感傷	使凹下		
	不能解決問題的	感傷的	使凹陷		
	不能解釋	極不協調	使加深		
	不能解釋的	極不協調的	使失去		
	不能說明	極可厭	使失去光澤		
	不能說明的	極可厭的	使用計謀		
	不能辨別	極可憎	使用計謀的		
	不能辨別的	極可憎的	使丟臉		
	不起作用	極危險之物	使瓦解		
	不健全	極度	使存偏見		
	不健全的	極度地	使有缺陷		
	不參加	極度渴望	使污濁		
	不堅固	歇斯底里	使行為不端		
	不堅固的	毀掉	使作嘔		
	不夠	毀損	使含糊		
	不夠的	毀滅	使折斷		
	不得人心	毀滅性	使更壞		
	不得人心的	毀壞	使束手無策		
	不得力	溺死	使沈沒		
	不得力的	溺愛	使沈溺		
	不得已	極惡	使身心交疲		
	不得已的	極惡的	使受毒氣影響		
	不得要領	極殘忍	使受嚴重損傷		
	不得要領的	極殘忍的人	使放縱		
	不情願	極無禮	使沾上泥污		
	不情願的	極無禮的	使糾纏		
	不清	極愚蠢	使便宜		
	不清楚	極愚蠢的	使咬字不清晰		
	不清楚的	極端	使枯竭		
	不理會	極端的	使降級		
	不符	極壞	使降級品格		
	不習慣	極壞的	使凌亂		
	不習慣的	極蠢	使延期		
	不勝任	極蠢之人	使抽動		
	不勝任的	腫痛	使空轉		
	不喜歡	腫瘤	使氣餒		
	不尊重	解雇	使疲倦		
	不結果	該死	使疲勞		
	不結果的	該死的	使疼痛		
	不結果實	該咒罵	使討厭		
	不結果實的	該咒罵的	使逆行		
	不舒服	該責備	使混淆		
	不寧	該責備的	使混亂		
	不管	該罰	使淪為乞丐		
	不管怎樣	該罰下地獄	使粗糙		
	不管怎樣地	該罰下地獄的	使蛀壞		
	不樂	厭倦	使陰暗		
	公憤	厭惡	使陷入		
	仇恨	厭惡的	使惱火		
	仇敵	嘔吐	使惱怒		
	勾引	嘔吐物	使發狂		
	勾結	慚愧	使發怒		
	反抗	慚愧的	使發愣		
	反抗的	慘白	使費解		
	反衝	慘白的	使鈍		
	反衝的	慟哭	使厭倦		
	反叛	精神上的打擊	使厭倦的		
	反叛者	誤差	使厭惡		
	引起不舒服	誤期	使厭煩		
	反對..提案	誤期的	使腐朽		
	欠缺	賒欠	使腐敗		
	欠缺的	賒帳	使腐蝕		
	欠錢	賒購	使腐爛		
	乏味	遜位	使蒙受恥辱		
	乏味的	僵直	使蒙羞		
	以..為賭注	僵痛	使暴露		
	以牙還牙	僵硬	使噁心		
	以呻吟聲說出	價值不高	供給..過強		
	以為不可	劇痛	供給..過強的力量		
	以喧鬧聲擾	劇跳	使過早硫化		
	以誘餌吸引	墮落	使隔絕		
	以餌引誘	墮落的	使隔離		
	代罪羔羊	墮落者	使對立		
	代價	憂沈	使對抗		
	令人無法忍受	憂悶	使慘敗		
	令人無法忍受的	憂傷	使摔倒		
	令人煩惱	憂慮	使滲漏		
	令人煩惱的	憂慮的	刻板		
	令人憤慨	憂鬱	刻板的		
	令人憤慨的	憂鬱的	刻薄		
	令人頭痛之事	憔悴	刻薄的		
	出沒	憔悴的	刺耳		
	出沒於	瘦的	刺耳的		
	出軌	皺眉	刺耳聲		
	出賣	皺眉表示	卑下		
	加油門快速前進	皺眉頭	卑下的		
	加負荷於	皺紋	卑劣		
	加負擔於	皺縮	卑劣的		
	加重	衝動	卑屈		
	加重壓於	踐踏	卑微		
	加害	遭受	卑微的		
	加深	遭受風吹雨打	卑鄙		
	加罪	遭受風吹雨打的	卑鄙的		
	加罪於	窮困	刺眼		
	加障礙於	窮困的	刺眼的強光		
	加劇	窮境	刺棒		
	匆匆忙忙	漠不	刺激		
	匆匆忙忙的	漠不關心	刺激物		
	匆忙	漠不關心的	刮出		
	匆忙地走	漠視	刮出刺耳聲		
	匆忙地做	慚愧	刮走		
	匆忙嚥下	慚愧的	刮掉		
	可爭論	懊悔	刮落		
	可爭論的	懊惱	制止		
	可惡	餓死	制止物		
	可惡的	餓得	制服		
	可悲	餓得要死	卑鄙小人		
	可悲的	遺憾	卑鄙地		
	可厭	頹廢	卑鄙的人		
	可厭惡	頹廢的	卑賤		
	可憎	頹廢者	卑賤的		
	可憎的	頹廢派藝術家	取消		
	可歎	頹廢期	取笑		
	可歎的	頹廢期的	受詛咒		
	叱責	曖昧	受詛咒的		
	打屁股	曖昧的	受感情驅使		
	打..的屁股	懦弱	受感情驅使的		
	打入	懦弱的人	受損失		
	打仗	舉反證	受損害		
	打出	舉止失禮	咒語		
	打耳光	艱巨	咒罵		
	打哈欠	艱巨的	咆哮		
	打架	艱苦	咆哮得使		
	打倒	艱苦的	咆哮著說		
	打破	艱難	固執		
	打偏	艱難的	固執己見		
	未被通知	舊病	固執的		
	未被通知的	舊病復發	垃圾		
	未減輕	離婚	奇怪		
	未減輕的	曠課	奇怪的		
	未發覺	曠課者	垃圾場		
	未發覺的	難以取悅	夜盜		
	未開化	難以取悅的	夜盜		
	未開化的	難以明瞭	奈何		
	未經	難以明瞭的	征服		
	未經訓練	難以相信	忽略		
	未經訓練的	難以捉摸	忽視		
	未經通知	難以捉摸的	怪物		
	未經通知的	難以置信	怪胎		
	未經檢查	難以置信的	怪異		
	未經檢查的	不平衡	怪異的		
	未解決	不甘	怪異的東西		
	未解決的	不甘不願	怪異風格		
	未詳細說明	不甘心	怪誕		
	未詳細說明的	不甘示弱	怪誕的行動		
	未達到	不甘寂寞	怪誕的事物		
	未確定	不如	怪誕的圖樣		
	未確定的	不如人意	拖欠		
	未緩和	不受	拖延		
	未緩和的	不受尊重	拖累		
	未擊中	不幸	拖著		
	未獲	不得已	拆除		
	未獲情報	內疚	拆毀		
	未獲情報的	六神無主	放任		
	未觸及	六親不認	放逐		
	未觸及的	心不甘情不願	放肆		
	正式放棄	心情不好	放肆的		
	正式脫離或退出	心情惡劣	放蕩		
	母夜叉	心痛	放蕩的		
	生氣	心虛	放縱		
	生氣的	心煩	放縱的		
	犯錯	心煩意亂	易壞		
	生活放蕩	心碎	易壞的		
	生活放蕩的人	心酸	昂貴		
	生疏	乏味	昂貴地		
	生疏的	乏善	昂貴的		
	生硬	乏善可陳	昏昏欲睡		
	生硬的	可悲	昏昏欲睡的		
	生裂縫	可憐	昏倒		
	生銹	可歎	昏迷		
	生銹的	失手	昏迷的		
	用力	失去	昏厥		
	用力按	失色	昏亂		
	用力擊	失血	昏暗		
	用手掌打	失利	昏暗的		
	用皮帶抽打	失序	昏暈		
	用憤怒	失志	服麻醉品		
	用憤怒的目光表示	失身	板臉		
	任性	失事	泥污		
	任性的	失和	泥坑		
	任性的舉動	失明	泥濘		
	任意	失盲	泥濘的		
	任意的	失信	沾污		
	凶狠	失卻	沾染		
	凶狠的	失約	油膩		
	兇殺	失效	油膩的		
	兇猛	失眠	武裝		
	兇猛的	失神	武裝部隊		
	兇惡	失笑	武裝部隊的		
	兇惡的	失密	法西斯主義者		
	好爭論	失常	法西斯黨員		
	好爭論的	失控	玩世不恭		
	好挖苦人	失掉	玩弄		
	好挖苦人的	失敗	玩忽		
	好鬥	失望	玩忽行為		
	好鬥的	失焦	玩笑		
	好責罵	失意	空洞		
	好責罵的人	失落	空洞的		
	好嘮叨	失態	空想		
	好嘮叨的人	失魂落魄	空想的		
	好戰	失戀	空想家		
	好戰的	失怙	空腹		
	好戰者	生恨	空腹的		
	忙亂	生厭	盲目		
	有矛盾情緒	生變	盲目的		
	有矛盾情緒的	死不	盲信		
	有惡意	死不認帳	盲信的		
	有惡意的	死不瞑目	空話		
	吵吵鬧鬧	死心	空轉		
	吵吵鬧鬧的要求	死東西	表面性的事物		
	吵架	死板	表面粗糙		
	吵鬧	死氣沈沈	表面粗糙的		
	吵鬧的	死德性	糾紛		
	局限於狹小空間	自甘墮落	糾纏		
	巫術	自怨	糾纏不休		
	忘記	自怨自艾	肥肉		
	忍住	自殺	肥的		
	忍受	自責	軋軋		
	快枯竭	自暴自棄	軋軋地作響		
	快枯竭的	呆滯	近視		
	快活	含恨	近視的		
	抗議	含恨在心	長肥		
	抗辯	冷落	門外漢		
	抗辯的	折磨	阿諛		
	把..歸咎於	抑鬱	非難的理由		
	把工作搞糟	沈悶	冒充		
	批判	沈鬱	冒充的		
	批評	沉重	冒充者		
	批評家	沉悶	冒失		
	批駁	沉默	冒失女孩		
	抓取	沉鬱	冒失的		
	抓得之物	忍受	冒犯		
	抓傷	忍受不了	冒昧		
	沖打	忍耐	冒昧的		
	沖蝕	忍氣吞聲	冒牌		
	狂妄	忍痛	冒牌貨		
	狂妄的	沒去	冒險		
	狂奔	沒去理會	冒險的		
	狂放	走下坡	冒險假設		
	狂怒	卒仔	削弱		
	狂怒的	卒仔臉	削掉		
	狂怒的人	受不了	削減		
	狂風	受氣	厚著臉皮做		
	狂風大浪	咒死	厚臉皮		
	狂亂	咒罵	厚臉皮的		
	狂亂地說	孤行	厚顏		
	狂亂的	孤寂	厚顏無恥		
	狂暴	孤僻	厚顏無恥的		
	狂暴地	官逼民反	哄誘		
	狂暴的	怪人	哄騙		
	狂熱	怪力亂神	哄騙做		
	狂熱地	怪物	哄騙的		
	狂熱的	抱怨	哄騙小孩		
	狂熱者	抱歉	哄騙他人		
	狂罵	拋棄	哄騙		
	使不平	哀怨	哄騙他人		
	使生氣	哀戚	姦情		
	使狂熱	哀痛	宣佈中止		
	使服從	哀歎	宣佈脫離關係		
	使後退	後悔	怠惰		
	使枯萎	流眼淚	怠惰地		
	使負重擔	苦心	怠惰的		
	使起糾紛	苦悶	挑剔		
	使停頓	苦惱	挑剔的		
	使堵塞	苦臉	挖掘		
	使得災禍	苟且偷安	挖掘地基		
	使脫軌	要死要活	拚命		
	使處於不利	要被當了	持異議		
	使處於不利地位	迫不	持續的叫喊		
	使焦慮	迫不得已	指控		
	使感覺不滿	倒楣	指責		
	使煩惱	哭ど	指摘		
	使煩亂	哭夭	拷問		
	使煩燥	哭夭個屁	拷問的		
	使煩躁	哭妖	挑逗		
	使碎裂	哭泣	挑撥		
	使生氣	哭爸	挑戰		
	使憤怒	哭媽	挑釁		
	使敵對	唉呀	挑釁的		
	使競爭	唉唷	故意		
	刺痛	唉喲	故意刁難		
	刺痛人	唉聲歎氣	故意少給		
	刺痛的	哽咽	故意的		
	怒氣	家破人亡	故態復萌		
	怒火	悔恨	歪曲		
	怒斥	疲累	歪的		
	怒視	神經病	查抄		
	怒吼	啜泣	查禁		
	忿怒	寂寞	毒品		
	忿恨	強迫	毒品交易中收錢而不給貨		
	忿恨的	強詞奪理	毒害		
	性急	強暴	毒氣		
	抽搐	惋惜	毒氣影響		
	押往	淒慘	毒殺		
	押往監獄	情何以堪	毒液		
	拙劣	悻悻	毒腺		
	拍打	惆悵	毒藥		
	拍擊	掉淚	派系		
	拍擊..使之前進	救我	洩密		
	抵抗	淒然	洩漏		
	抵制	淒慘	洩露		
	抵消	淚下	為難		
	牴觸	淚如雨下	炸毀		
	抱怨	淚流	狠狠		
	抱怨地說	淚流滿面	狠狠抨擊		
	拘束	淚動	狡詐		
	拘泥	牽掛	狡詐的		
	拘留	牽腸掛肚	狡猾		
	拘留所	袖手旁觀	狡猾的		
	拘留處	規避	玷污		
	拖緊	訝異	牲畜		
	拖沓	訝然	牲畜欄		
	拖沓地進行	責怪	狩獵		
	易生氣	責問	相反		
	易生氣的	責備	相反地		
	易受	責罵	相反的		
	易受..影響	責難	相差		
	易受..影響的	啼哭	砍倒		
	易受騙	喪氣	砍得		
	易受騙的	報歉	砍得很深		
	易怒	報憂	砍得很深的傷口		
	易怒的	唾棄	砍痕		
	易碎	悲哀	砍傷		
	易碎的	悲苦	砍頭		
	易瞞	悲情	砍擊		
	易變	悲涼	胡言		
	易變的	悲痛	胡言亂語		
	氾濫	悲痛欲絕	胡思		
	爭論	悲傷	胡思亂想		
	爭論的	悲愁	胡思亂想的		
	爭辯	悲歎	胡亂		
	表示忿恨	悲慘	胡亂地塗		
	表示忿恨的	悲憤	胡亂對付		
	表示輕蔑	悲觸	胡話		
	表示鄙視	悲觀	胡說		
	非正式	悶悶	胡鬧		
	非正式的	悶著	致污物		
	非自願	慨然	苛求		
	非自願的	慨歎	苛刻		
	非法	焦急	苛刻的		
	非法的	焦慮	致使		
	非真正	焦躁	苦工		
	非真正的	無力	苦役		
	侷促	無可奈何	苦事		
	咬住	無奈	苦味		
	咬傷	無法	苦的		
	叛徒	無法挽回	苦的東西		
	叛逆	無能	苦幹		
	叛逆的	痛心	苦境		
	怒斥	痛心疾首	苦難		
	怒目	痛恨	虐待		
	怒目注視	痛苦	要吐		
	怒容	痛哭	要吐的		
	怒容的	痛哭流涕	要死		
	怒氣	發抖	計謀		
	怒氣沖沖	傷心	負的		
	怒氣沖沖的	傷心死了	負荷		
	怒視	傷害	負數		
	怒潮	傷悲	負擔		
	怒髮衝冠	傷痛欲絕	重打		
	急躁	傷感	重負		
	急躁的	傷感情	重新陷入		
	急語	虛弱	重擔		
	怨言	嗚咽	重壓		
	怨恨	嗚哩哩	重擊		
	怨恨引起	嗚嗚咽咽	重擊聲		
	怨恨引起的	愴然	降級		
	怨恨的	感慨	降禍		
	挖空	感傷	風吹		
	挖苦	感歎	風波		
	挖苦的	感覺不到	風騷		
	故障	愁眉	飛濺		
	施以	愁眉苦臉	飛濺出		
	施暴	愁苦	食人		
	炫耀	慌亂	食人者		
	炸藥	慌慌張張	亳不		
	炮擊	愧疚	亳不留情		
	炮轟	愧對	亳不留情的		
	要求	歇斯底里	凍傷		
	迫切	毀容	凌辱		
	迫切的	煩心	宰殺		
	迫切需要	煩死	害人		
	迫使	煩死了	害人精		
	倔強	煩悶	害羞		
	倔強地	煩惱	害羞的		
	倔強的	煩躁	害處		
	剛愎	落伍	害蟲		
	剛愎的	落空	害臊		
	差強	落荒而逃	剔除		
	差強人意	落淚	原子塵		
	差強人意的	落寞	原子塵的降下		
	悍婦	落魄	埋伏		
	氣急	落選	埋地雷		
	氣急敗壞	裝可憐	埋葬		
	氣急敗壞地說	道歉	家務雜事		
	氣惱	碰壁	恣意		
	氣憤	過世	恣意的		
	氣憤地說粗話	過意不去	容忍		
	氣餒	對不起	射擊		
	氣餒的	哀傷	差別		
	浮躁	傷心	差的		
	浮躁的	憂心	差異		
	耗費	憂心忡忡	弱小		
	耗費的	憂悶	弱小的		
	草率	憂傷	弱點		
	草率的	憂愁	恥辱		
	草率從事	憂慮	根絕		
	草率從事的	憂懼	悄悄		
	起糾紛	憂鬱	悄悄踱步		
	起阻礙作用	潦倒	悚然		
	起訴	潸然淚下	捕捉		
	起訴人	憾恨	捕捉之物		
	起訴狀	懊悔	捕捉器		
	起皺	懊惱	捆住		
	起雞皮疙瘩	頹喪	捏造		
	辱罵	頭殼壞去	挫折		
	高傲	頭殼壞掉	挫敗		
	高傲態度	凝重	挫傷		
	鬥爭	擔心	挨餓		
	鬥拳	擔憂	料想不到		
